restaurant_id,cuisine
res_ce75065f476c3aab,Street Food
res_9d0e98697d8e1f57,Ice Cream
res_9d0e98697d8e1f57,Desserts
res_9d0e98697d8e1f57,Beverages
res_9d0e98697d8e1f57,Sandwich
res_98ea5220bd056a48,South Indian
res_7e19cec3b7072301,South Indian
res_fc1f4a6b223ac2c1,South Indian
res_fc1f4a6b223ac2c1,Biryani
res_eaaa068e0fc62592,Bakery
res_3d70bee92865369d,Bakery
res_3d70bee92865369d,Desserts
res_9935a1c6b32d0569,Biryani
res_9935a1c6b32d0569,North Indian
res_9935a1c6b32d0569,Chinese
res_9935a1c6b32d0569,Fast Food
res_955384331c5a642b,Biryani
res_44190d0a1acd72e9,North Indian
res_7641be18656ce25c,North Indian
res_4659d2f1a088aca9,Bakery
res_4659d2f1a088aca9,Desserts
res_6bd36d983a796127,Chinese
res_6bd36d983a796127,North Indian
res_0a3a767b876df24e,South Indian
res_0a3a767b876df24e,North Indian
res_0a3a767b876df24e,Chinese
res_0a3a767b876df24e,Street Food
res_b40922d1da1b4ade,Mangalorean
res_b40922d1da1b4ade,South Indian
res_b40922d1da1b4ade,North Indian
res_9cda1b0f875b07bb,Fast Food
res_9cda1b0f875b07bb,South Indian
res_722e6bd04ae23274,Street Food
res_722e6bd04ae23274,Fast Food
res_3c00abdea657f81d,Ice Cream
res_3c00abdea657f81d,Desserts
res_60b44835f496b239,South Indian
res_7193ead1d2ad78dc,South Indian
res_7193ead1d2ad78dc,North Indian
res_7193ead1d2ad78dc,Chinese
res_1b7decd9cec6275e,North Indian
res_1b7decd9cec6275e,Chinese
res_16ecfd8c025fb515,South Indian
res_bc54577b6c2eb6b3,South Indian
res_bc54577b6c2eb6b3,North Indian
res_bc54577b6c2eb6b3,Chinese
res_bc54577b6c2eb6b3,Beverages
res_611136d50b3b6b5b,South Indian
res_611136d50b3b6b5b,Chinese
res_611136d50b3b6b5b,North Indian
res_611136d50b3b6b5b,Juices
res_e52649cb73aac6ae,North Indian
res_e52649cb73aac6ae,Kebab
res_e52649cb73aac6ae,Biryani
res_e52649cb73aac6ae,Chinese
res_2c81a4206fb5b0d6,Chinese
res_2c81a4206fb5b0d6,North Indian
res_2c81a4206fb5b0d6,Mughlai
res_2c81a4206fb5b0d6,Rolls
res_8ce8b477611e998f,North Indian
res_8ce8b477611e998f,Mughlai
res_8ce8b477611e998f,Fast Food
res_332651ad9c695a1f,Burger
res_332651ad9c695a1f,Fast Food
res_378686597e18b0d1,Desserts
res_378686597e18b0d1,Ice Cream
res_378686597e18b0d1,Beverages
res_378686597e18b0d1,Fast Food
res_378686597e18b0d1,Sandwich
res_0037d152384ba25c,North Indian
res_0037d152384ba25c,Chinese
res_0037d152384ba25c,Biryani
res_0037d152384ba25c,Beverages
res_b5ffbd44db712bec,Beverages
res_b5ffbd44db712bec,Juices
res_b5ffbd44db712bec,Ice Cream
res_9a75f05eb02733f9,North Indian
res_9a75f05eb02733f9,Chinese
res_11a5658092985ce0,North Indian
res_11a5658092985ce0,Mughlai
res_11a5658092985ce0,Chinese
res_d32c8f149d3103a9,Biryani
res_7ba2a76c50aee80f,Biryani
res_8629b4edefdefba3,Chinese
res_8629b4edefdefba3,Seafood
res_8629b4edefdefba3,Biryani
res_d099821feaaf5fc3,Desserts
